Data Quality Rating,Functional Size,Adjusted Function Points,Total Work Effort,Development Type,Package Customisation,Architecture,Web development,Development Platform,Language Type,Used Methodology,Resource Level
B,161,161,9808,New Development,No,?,NonWeb,MF,3GL,No,1
B,895,823,36225,Enhancement,No,Stand alone,NonWeb,MF,ApG,Yes,4
A,266,223,3023,New Development,No,Stand alone,NonWeb,MF,3GL,Yes,1
A,278,325,8663,Enhancement,?,?,NonWeb,?,4GL,Yes,1
A,70,77,436,Enhancement,?,Stand alone,NonWeb,PC,3GL,Yes,1
A,62,73,3675,Enhancement,?,?,NonWeb,?,4GL,No,1
B,154,154,1056,Enhancement,No,?,NonWeb,MR,4GL,No,1
B,0,364,7001,Enhancement,?,Client server,NonWeb,MF,3GL,Yes,1
B,1374,1223,66600,New Development,No,Stand alone,NonWeb,MF,3GL,Yes,4
A,454,499,2310,Enhancement,No,Stand alone,NonWeb,MF,4GL,No,1
B,0,3411,82968,New Development,No,Stand alone,NonWeb,MR,?,Yes,4
B,335,649,4540,Enhancement,?,Client server,NonWeb,?,4GL,Yes,1
B,0,62,260,Enhancement,?,Client server,NonWeb,PC,4GL,Yes,1
B,550,594,24664,New Development,No,Client server,NonWeb,MR,4GL,Yes,1
A,0,1003,15794,Enhancement,?,?,NonWeb,?,4GL,Yes,1
B,228,228,1362,Enhancement,No,Multi-tier or Client server,NonWeb,Multi,4GL,No,1
B,85,74,503,Enhancement,?,?,NonWeb,?,3GL,No,1
B,2777,2944,21625,New Development,No,Multi-tier,NonWeb,MF,3GL,No,1
B,89,92,2601,Enhancement,?,?,NonWeb,?,?,Yes,1
B,0,154,1047,New Development,?,Multi-tier with web public interface,Web,Multi,3GL,Yes,1
B,128,145,2200,Enhancement,No,Stand alone,NonWeb,MF,3GL,Yes,1
B,1632,1632,16702,New Development,Dont Know,?,NonWeb,?,3GL,No,1
B,169,169,840,Enhancement,No,?,NonWeb,MF,4GL,No,1
B,15,13,176,Enhancement,?,Stand alone,NonWeb,MF,3GL,Yes,1
B,385,424,9859,Enhancement,?,?,NonWeb,?,3GL,Yes,1
B,157,157,812,Enhancement,Dont Know,?,NonWeb,?,3GL,No,1
B,0,253,2960,New Development,?,Multi-tier or Client server,NonWeb,Multi,4GL,Yes,1
B,130,130,3904,New Development,No,?,NonWeb,MF,3GL,No,1
B,266,278,8662,Enhancement,?,Client server,NonWeb,?,4GL,Yes,1
D,4183,4183,3115,Enhancement,No,Client server,NonWeb,MF,3GL,Yes,2
B,263,263,971,Enhancement,Dont Know,?,NonWeb,?,3GL,No,1
B,12,15,178,Enhancement,?,?,Web,?,?,Yes,1
B,0,147,433,Enhancement,?,Stand alone,NonWeb,MF,4GL,Yes,1
B,0,875,2383,Enhancement,No,Client server,NonWeb,PC,ApG,No,1
B,426,426,1680,New Development,Dont Know,?,NonWeb,?,?,No,1
B,13,13,207,Enhancement,?,Client server,NonWeb,?,?,No,1
B,264,282,1658,Enhancement,No,Stand alone,NonWeb,MF,ApG,Yes,4
B,131,131,1253,Enhancement,Dont Know,?,NonWeb,?,?,No,1
B,316,379,35,Enhancement,?,?,NonWeb,?,3GL,Yes,1
D,0,7450,27336,New Development,?,?,NonWeb,?,?,Yes,4
B,83,99,1145,Enhancement,?,?,NonWeb,MF,3GL,Yes,1
B,142,142,7000,Enhancement,No,?,NonWeb,MF,3GL,Yes,1
B,112,105,1328,Enhancement,?,Client server,NonWeb,?,4GL,Yes,1
B,829,1028,40000,Enhancement,No,?,NonWeb,MF,?,Yes,4
B,92,92,1171,New Development,No,?,NonWeb,MR,3GL,No,1
A,322,328,665,New Development,No,?,NonWeb,PC,4GL,Yes,1
B,129,129,529,New Development,No,Multi-tier or Client server,NonWeb,Multi,4GL,No,1
B,143,136,3012,Enhancement,No,Stand alone,NonWeb,MF,?,Yes,1
B,455,455,10670,New Development,Dont Know,?,NonWeb,?,4GL,No,1
B,307,307,4404,New Development,No,Multi-tier or Client server,NonWeb,Multi,3GL,No,1
B,147,147,1327,New Development,No,Multi-tier or Client server,NonWeb,Multi,4GL,No,1
